BRANCHCODE;BRANCHINFO;INSTITUTIONNAME;PHYSICALADDRESS;COUNTRYNAME;SWIFTCODE;CITYNAME
004706;MAPONYA MALL;STANDARD BANK;SHOP 338 MAPONYA MALL, OLD POTCHEFSTROOM ROAD;SOUTH AFRICA;SBZAZAJJ;MAPONYA MALL
004806;KAALFONTEIN;STANDARD BANK;CNR OF MAIN & ANGELFISH DRIVE;SOUTH AFRICA;SBZAZAJJ;KAALFONTEIN
004805;BRAAMFONTEIN;STANDARD BANK;76 JORISSEN STREET;SOUTH AFRICA;SBZAZAJJ;BRAAMFONTEIN
004906;SANRIDGE;STANDARD BANK;SHOP 22;SOUTH AFRICA;SBZAZAJJ;SANRIDGE
005005;INDUSTRIA BRANCH CLOSE;STANDARD BANK;INDUSTRIA BRANCH MERGE WITH;SOUTH AFRICA;SBZAZAJJ;INDUSTRIA BRANCH CLOSE
005055;NO. 5 ON SIMMONDS;STANDARD BANK;GROUND FLOOR STANDARD BANK CENTRE;SOUTH AFRICA;SBZAZAJJ;NO. 5 ON SIMMONDS
005053;VAF: ACCESS FINANCE;STANDARD BANK;1ST FLOOR;SOUTH AFRICA;SBZAZAJJ;VAF: ACCESS FINANCE
005183;ELECTRONIC SETTLEMENT DURBAN;STANDARD BANK;DUMMY BRANCH, DO NOT USE;SOUTH AFRICA;SBZAZAJJ;ELECTRONIC SETTLEMENT DURBAN
005205;FORDSBURG;STANDARD BANK;1819 ALBERTINA SISULU STREET;SOUTH AFRICA;SBZAZAJJ;FORDSBURG
005660;NR NON-METRO ATM SERVICES;STANDARD BANK;CNR. OAK & RETAIL AVENUE;SOUTH AFRICA;SBZAZAJJ;NR NON-METRO ATM SERVICES
006005;THE GLEN;STANDARD BANK;ENTRANCE 3 THE GLEN SHOPPING CENTRE CNR;SOUTH AFRICA;SBZAZAJJ;THE GLEN
006105;MELVILLE;STANDARD BANK;SHOP 1 FIRST FLOOR CAMPUS SQUARE SHOPPING CENT;SOUTH AFRICA;SBZAZAJJ;MELVILLE
006260;O.R. TAMBO;STANDARD BANK;IDR CENTRAL TERMINAL BUILDING;SOUTH AFRICA;SBZAZAJJ;O.R. TAMBO
006360;TSAKANE;STANDARD BANK;SHOP 55 TSAKANE MALL;SOUTH AFRICA;SBZAZAJJ;TSAKANE
006355;IPS JOHANNESBURG DAY 2 CENTRE;STANDARD BANK;CENTRO CITY BUILDING;SOUTH AFRICA;SBZAZAJJ;IPS JOHANNESBURG DAY 2 CENTRE
006353;IPS PRETORIA DAY 2 CENTRE;STANDARD BANK;CURATOR BUILDING;SOUTH AFRICA;SBZAZAJJ;IPS PRETORIA DAY 2 CENTRE
006405;SOUTHDALE;STANDARD BANK;SOUTHDALE SHOPPING CENTRE ALAMEIN STREET;SOUTH AFRICA;SBZAZAJJ;SOUTHDALE
006605;HYDE PARK;STANDARD BANK;CNR HYDE LANE AND JAN SMUTS AVENUE;SOUTH AFRICA;SBZAZAJJ;HYDE PARK
006760;MOKALA MALL;STANDARD BANK;MOKALA MALL;SOUTH AFRICA;SBZAZAJJ;MOKALA MALL
006805;PROTEA GARDENS;STANDARD BANK;SHOP 10 PROTEA GARDENS SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;PROTEA GARDENS
006981;ELECTRONIC SETTLEMENT CAPETOWN;STANDARD BANK;DUMMY BRANCH, DO NOT USE;SOUTH AFRICA;SBZAZAJJ;ELECTRONIC SETTLEMENT CAPETOWN
007154;MOBILE BANKING CENTRAL;STANDARD BANK;45 COMMISSIONER STREET;SOUTH AFRICA;SBZAZAJJ;MOBILE BANKING CENTRAL
007155;IPC: BRANCH MAINTENANCE JHB;STANDARD BANK;2ND TO 7TH FLOOR MELHOF BUILDING 2 MELLE;SOUTH AFRICA;SBZAZAJJ;IPC: BRANCH MAINTENANCE JHB
007254;CRESTA;STANDARD BANK;CRESTA CENTRE CNR BEYERS NAUDE AND WELTEVREDEN;SOUTH AFRICA;SBZAZAJJ;CRESTA
007260;TRADE ROUTE MALL;STANDARD BANK;TRADE ROUTE MALL;SOUTH AFRICA;SBZAZAJJ;TRADE ROUTE MALL
007205;KILLARNEY;STANDARD BANK;KILLARNEY MALL SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;KILLARNEY
007454;WILKOPPIES;STANDARD BANK;SHOP 23 & 24A;SOUTH AFRICA;SBZAZAJJ;WILKOPPIES
007554;ALEX MALL;STANDARD BANK;LONDON ROAD;SOUTH AFRICA;SBZAZAJJ;ALEX MALL
007505;CARD DIVISION (JHB);STANDARD BANK;4TH FLOOR, STANDARD BANK ADMIN;SOUTH AFRICA;SBZAZAJJ;CARD DIVISION (JHB)
007654;ONLINE BANKING;STANDARD BANK;52 ANDERSON STREET;SOUTH AFRICA;SBZAZAJJ;ONLINE BANKING
007660;OPS: WELKOM CASH SERVICES;STANDARD BANK;CNR GRAAF AND TULBAGH STREET;SOUTH AFRICA;SBZAZAJJ;OPS: WELKOM CASH SERVICES
008825;CIB: KZN PIETERMARITBURG;STANDARD BANK;188 LONGMARKET STREET;SOUTH AFRICA;SBZAZAJJ;CIB: KZN PIETERMARITBURG
009006;MALL OF AFRICA;STANDARD BANK;SHOP 1042, CNR ALLANDALE + MAXWELL DRIVE;SOUTH AFRICA;SBZAZAJJ;MALL OF AFRICA
009160;ALEXANDRA;STANDARD BANK;ALEXANDRA SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;ALEXANDRA
009405;OPS:JOHANNESBURG ATM SERVICES;STANDARD BANK;LOWER GROUND FLOOR STANDARD BANK CENTRE;SOUTH AFRICA;SBZAZAJJ;OPS:JOHANNESBURG ATM SERVICES
009853;BLUEBEAN.COM;STANDARD BANK;THIRD FLOOR 6 SIMMONDS STREET;SOUTH AFRICA;SBZAZAJJ;BLUEBEAN.COM
009953;FOURWAYS CROSSING;STANDARD BANK;1 TWILIGHT AVENUE;SOUTH AFRICA;SBZAZAJJ;FOURWAYS CROSSING
010045;PRETORIA;STANDARD BANK;230 HELEN JOSEPH STREET;SOUTH AFRICA;SBZAZAJJ;PRETORIA
010145;TSHWANE MID CITY;STANDARD BANK;267 LILIAN NGOYI STREET;SOUTH AFRICA;SBZAZAJJ;TSHWANE MID CITY
010345;LAUDUIM;STANDARD BANK;LAUDUIM SQUARE;SOUTH AFRICA;SBZAZAJJ;LAUDUIM
010445;PRETORIA NORTH;STANDARD BANK;497 GERRIT MARITZ STREET;SOUTH AFRICA;SBZAZAJJ;PRETORIA NORTH
010545;SILVERTON;STANDARD BANK;SHOP NO 20 SILVERTON MALL;SOUTH AFRICA;SBZAZAJJ;SILVERTON
010645;SUNNYSIDE;STANDARD BANK;SHOP 39 SUNNYPARK SHOPPING CENTRE CNR ESSELEN;SOUTH AFRICA;SBZAZAJJ;SUNNYSIDE
010945;CENTURION MALL;STANDARD BANK;CENTURION MALL SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;CENTURION MALL
011145;STANDARD TRUST PRETORIA;STANDARD BANK;5TH FLOOR STD BANK CNTRE;SOUTH AFRICA;SBZAZAJJ;STANDARD TRUST PRETORIA
011245;BROOKLYN;STANDARD BANK;521 FEHRSEN STREET;SOUTH AFRICA;SBZAZAJJ;BROOKLYN
011545;HATFIELD;STANDARD BANK;STANDARD PLAZA;SOUTH AFRICA;SBZAZAJJ;HATFIELD
011642;GOLDEN WALK;STANDARD BANK;GOLDEN WALK SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;GOLDEN WALK
011842;BOKSBURG;STANDARD BANK;K90 NORTH SHOPPING CENTRE NORTH RAND ROAD;SOUTH AFRICA;SBZAZAJJ;BOKSBURG
012042;MALL AT CARNIVAL;STANDARD BANK;MALL AT CARNIVAL;SOUTH AFRICA;SBZAZAJJ;MALL AT CARNIVAL
012041;SBV WESTERN REGION;STANDARD BANK;NORTH TOWERS;SOUTH AFRICA;SBZAZAJJ;SBV WESTERN REGION
012142;SPRINGS;STANDARD BANK;33  FIFTH  AVENUE;SOUTH AFRICA;SBZAZAJJ;SPRINGS
012242;NIGEL;STANDARD BANK;SHOP 1 NIGEL BUSINESS CENTRE CNR CHURCH STREET;SOUTH AFRICA;SBZAZAJJ;NIGEL
012342;NEW MARKET;STANDARD BANK;CNR HEIDELBERG & RING ROAD EAST;SOUTH AFRICA;SBZAZAJJ;NEW MARKET
012345;MENLYN PARK;STANDARD BANK;MENLYN CENTRE, FIRST FLOOR;SOUTH AFRICA;SBZAZAJJ;MENLYN PARK
012445;LYNNWOOD RIDGE;STANDARD BANK;SHOP U26, THE GROVE SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;LYNNWOOD RIDGE
012442;KEMPTON PARK;STANDARD BANK;SHOP 92 FESTIVAL MALL SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;KEMPTON PARK
012645;CENTURION LIFESTYLE BRANCH;STANDARD BANK;SHOP B1 CENTURION LIFESTYLE CENTRE;SOUTH AFRICA;SBZAZAJJ;CENTURION LIFESTYLE BRANCH
013042;LAKESIDE MALL;STANDARD BANK;SHOP D006, DECK EXTENSION LAKESIDE MALL;SOUTH AFRICA;SBZAZAJJ;LAKESIDE MALL
013145;FCS GAUTENG REGION;STANDARD BANK;LOWER GROUND FLOOR;SOUTH AFRICA;SBZAZAJJ;FCS GAUTENG REGION
013445;HARTBEESPOORT;STANDARD BANK;VILLAGE MALL, MAGALIES BOULEVARD;SOUTH AFRICA;SBZAZAJJ;HARTBEESPOORT
013542;KATLEHONG;STANDARD BANK;SHOP 26 LETSOHO SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;KATLEHONG
014342;CSC-JOHANNESBURG CORPORATE;STANDARD BANK;9TH FLOOR;SOUTH AFRICA;SBZAZAJJ;CSC-JOHANNESBURG CORPORATE
014445;GOSS: BRANCH MAINT + PAYM PTA;STANDARD BANK;3RD FLOOR SHORBURG BUILDING;SOUTH AFRICA;SBZAZAJJ;GOSS: BRANCH MAINT + PAYM PTA
014442;CSC-JOHANNESBURG COMMERCIAL;STANDARD BANK;EAST TOWERS BEDFORD CENTRE;SOUTH AFRICA;SBZAZAJJ;CSC-JOHANNESBURG COMMERCIAL
014537;MEYERTON;STANDARD BANK;12 LOCH STREET;SOUTH AFRICA;SBZAZAJJ;MEYERTON
